time,bkgd_a,bkgd_b,bkgd_c
1496019180,16.7,72,99265.3040688235
1496022780,15.6,75,99246.3092530854
1496024520,15,78,99242.9241253091
1496025420,15,78,99239.5389975328
1496026380,14.4,81,99236.1538697565
1496029980,13.9,83,99251.4104215198
1496033580,13.9,83,99280.6794897657
1496037180,13.9,83,99280.6794897657
1496040780,13.9,83,99270.9231336837
1496044380,13.3,87,99207.2592422562
1496047980,13.3,84,99197.5033902312
1496051580,13.3,84,99187.7475382062
1496055180,12.8,89,99183.4606908982
1496058780,12.8,86,99144.4389693713
1496062380,12.8,89,99115.1726782262
1496065980,12.8,89,99134.6835389896
1496069580,12.8,86,99163.9498301347
1496073180,12.8,89,99183.4606908982
1496076780,13.3,87,99197.5033902312
1496080380,13.9,81,99163.6032167824
1496082540,14.4,81,99163.3935114551
1496083980,15,78,99163.1838061278
1496087580,15,78,99153.4265313264
1496091180,15,75,99124.1547069224
1496094780,16.7,70,99089.6478091657
1496096640,16.7,70,99052.6956484631
1496098380,17.2,70,99015.7434877604
1496101980,16.7,70,98962.7849549684
1496104080,15.6,75,98963.059395427
1496105580,15.6,75,98963.3338358855
1496109180,14.4,81,98962.964182572
1496112780,14.4,81,99001.9912807412
1496116380,13.9,83,99027.0142316354
1496119980,13.3,84,99080.4331659311
1496123580,13.9,83,99036.7705877173
1496127180,13.3,87,98973.1187936561
1496130780,13.3,87,98953.6070896061
1496134380,13.3,84,99021.8980537811
1496135280,12.8,89,99002.3863497311
1496137980,13.3,87,98982.8746456811
1496141580,13.3,87,99012.1422017561
1496145180,12.8,89,98998.1075136456
1496148780,12.8,89,98998.1075136456
1496152380,12.8,86,99046.8846655542
1496155980,13.3,84,99051.1656098561
1496158800,13.3,84,99073.2371670325
1496159580,13.9,81,99095.3087242089
1496163180,13.9,81,99105.0650802908
1496166780,15,75,99104.6401573197
1496170380,15.6,72,99099.942657982
1496173980,15.6,72,99080.4271119682
1496177460,16,72,99092.2852053756
1496177580,16.1,70,99104.1432987831
1496181180,16.1,70,99065.1105523086
1496183940,16.1,70,99045.5941790713
1496184780,16.1,70,99026.077805834
1496188380,17.2,65,99015.7434877604
1496191980,15.6,72,98982.8493818993
1496195460,15,77,98960.807933798
1496195580,15,75,98938.7664856967
1496199180,14.4,78,98953.2074080297
1496202780,13.9,81,98958.7197390618
1496206380,13.9,81,98997.7451633895
1496209980,13.9,81,99036.7705877173
1496211180,13.9,81,99031.8924096763
1496213580,13.9,81,99027.0142316354
1496215920,13.9,81,99002.6233414305
1496217180,13.9,81,98978.2324512257
1496220780,13.9,81,98939.2070268979
1496224380,14.4,78,98933.6938589451
1496227980,13.9,81,98900.1816025702
1496231580,13.9,81,98919.6943147341
1496235180,13.3,87,98914.5836815061
1496238780,13.3,87,98934.0953855561
1496242380,14.4,81,98982.4777316566
1496245980,16.1,70,99026.077805834
