time,bkgd_a,bkgd_b,bkgd_c
1496019180,1670,73728,99265.3040688235
1496022780,1560,76800,99246.3092530854
1496024520,1500,79872,99242.9241253091
1496025420,1500,79872,99239.5389975328
1496026380,1440,82944,99236.1538697565
1496029980,1390,84992,99251.4104215198
1496033580,1390,84992,99280.6794897657
1496037180,1390,84992,99280.6794897657
1496040780,1390,84992,99270.9231336837
1496044380,1330,89088,99207.2592422562
1496047980,1330,86016,99197.5033902312
1496051580,1330,86016,99187.7475382062
1496055180,1280,91136,99183.4606908982
1496058780,1280,88064,99144.4389693713
1496062380,1280,91136,99115.1726782262
1496065980,1280,91136,99134.6835389896
1496069580,1280,88064,99163.9498301347
1496073180,1280,91136,99183.4606908982
1496076780,1330,89088,99197.5033902312
1496080380,1390,82944,99163.6032167824
1496082540,1440,82944,99163.3935114551
1496083980,1500,79872,99163.1838061278
1496087580,1500,79872,99153.4265313264
1496091180,1500,76800,99124.1547069224
1496094780,1670,71680,99089.6478091657
1496096640,1670,71680,99052.6956484631
1496098380,1720,71680,99015.7434877604
1496101980,1670,71680,98962.7849549684
1496104080,1560,76800,98963.059395427
1496105580,1560,76800,98963.3338358855
1496109180,1440,82944,98962.964182572
1496112780,1440,82944,99001.9912807412
1496116380,1390,84992,99027.0142316354
1496119980,1330,86016,99080.4331659311
1496123580,1390,84992,99036.7705877173
1496127180,1330,89088,98973.1187936561
1496130780,1330,89088,98953.6070896061
1496134380,1330,86016,99021.8980537811
1496135280,1280,91136,99002.3863497311
1496137980,1330,89088,98982.8746456811
1496141580,1330,89088,99012.1422017561
1496145180,1280,91136,98998.1075136456
1496148780,1280,91136,98998.1075136456
1496152380,1280,88064,99046.8846655542
1496155980,1330,86016,99051.1656098561
1496158800,1330,86016,99073.2371670325
1496159580,1390,82944,99095.3087242089
1496163180,1390,82944,99105.0650802908
1496166780,1500,76800,99104.6401573197
1496170380,1560,73728,99099.942657982
1496173980,1560,73728,99080.4271119682
1496177460,1600,73728,99092.2852053756
1496177580,1610,71680,99104.1432987831
1496181180,1610,71680,99065.1105523086
1496183940,1610,71680,99045.5941790713
1496184780,1610,71680,99026.077805834
1496188380,1720,66560,99015.7434877604
1496191980,1560,73728,98982.8493818993
1496195460,1500,78848,98960.807933798
1496195580,1500,76800,98938.7664856967
1496199180,1440,79872,98953.2074080297
1496202780,1390,82944,98958.7197390618
1496206380,1390,82944,98997.7451633895
1496209980,1390,82944,99036.7705877173
1496211180,1390,82944,99031.8924096763
1496213580,1390,82944,99027.0142316354
1496215920,1390,82944,99002.6233414305
1496217180,1390,82944,98978.2324512257
1496220780,1390,82944,98939.2070268979
1496224380,1440,79872,98933.6938589451
1496227980,1390,82944,98900.1816025702
1496231580,1390,82944,98919.6943147341
1496235180,1330,89088,98914.5836815061
1496238780,1330,89088,98934.0953855561
1496242380,1440,82944,98982.4777316566
1496245980,1610,71680,99026.077805834
1496249580,1720,68608,99035.261670983
1496253180,1830,62464,99044.3770541603
1496256780,1940,60416,99033.9029556106
1496260380,2060,54272,99063.2185477229
1496263980,2060,58368,99043.6948546706
1496267580,2170,60416,99042.8388612281
1496271180,2060,69632,99024.1711616182
1496274780,2000,71680,98999.7633450228
1496276520,1830,79872,98987.9102350971
1496278380,1830,77824,98976.0571251714
1496281980,1720,82944,98976.7071213154
1496285580,1610,89088,98967.5286861223
1496289180,1610,89088,98996.8032459782
1496292780,1560,92160,98982.8493818993
1496296380,1500,92160,99016.8246841075
1496297940,1500,92160,99002.1887719055
1496299980,1500,89088,98987.5528597034
1496303580,1500,89088,98997.3101345048
1496307180,1500,89088,98958.2810352994
1496309640,1440,92160,98958.39071124
1496310060,1440,92160,98958.5003871806
1496310660,1400,96256,98958.6100631212
1496310780,1390,95232,98958.7197390618
1496314380,1390,95232,98978.2324512257
1496315160,1390,95232,98978.2324512257
1496317980,1390,95232,98978.2324512257
1496319720,1440,92160,98990.1118659835
1496321580,1440,92160,99001.9912807412
1496325180,1500,92160,99026.5819589089
1496328660,1500,90112,99046.0965085116
1496328780,1500,92160,99065.6110581143
1496332380,1560,92160,99080.4271119682
1496335980,1610,84992,99094.3851121645
1496339580,1830,77824,99093.1770034381
1496343180,1890,74752,99098.1228753589
1496346660,2000,69632,99105.0753278564
1496346780,2060,66560,99112.0277803538
1496350380,2060,66560,99072.9803942491
1496353860,2000,69632,99051.0139170642
1496353980,2000,69632,99029.0474398793
1496357580,1940,72704,99014.3811927572
1496361180,1940,72704,99014.3811927572
1496364780,1830,74752,98976.0571251714
1496368380,1780,74752,98981.6846443071
1496371980,1670,76800,98972.5436360605
1496375580,1560,76800,98992.6071549062
1496379180,1560,81920,99021.8804739268
1496382780,1440,86016,99001.9912807412
1496386380,1440,86016,99011.7480552835
1496389860,1400,90112,99004.7466093365
1496389980,1390,89088,98997.7451633895
1496393580,1440,86016,98992.2345061989
